cityName,airportCode,countryCode,longitude,NoTraffic,airportName,countryName,Closed,latitude,departures,previous_week_dep_percent_change,reference_week_dep_percent_change,date
Saltillo,MMIO,MEX,-100.9283528,FALSE,Plan De Guadalupe Intl,Mexico,FALSE,25.54978611,2,0,-83.33333333,12/04/2020
Thiruvananthapuram,VOTV,IND,76.92,TRUE,Thiruvananthapuram,India,FALSE,8.479444444,135,,0,12/04/2020
Gander,CYQX,CAN,-54.56813611,FALSE,Gander Intl,Canada,FALSE,48.93701944,2,0,-75,12/04/2020
Sofia,LBSF,BGR,23.40833333,TRUE,Sofia,Bulgaria,FALSE,42.695,37,-30.18867925,-91.08433735,12/04/2020
Halifax,CYHZ,CAN,-63.51019167,TRUE,Stanfield Intl,Canada,FALSE,44.87968056,8,-66.66666667,-91.01123596,12/04/2020
Florianopolis,SBFL,BRA,-48.5525,FALSE,Hercilio Luz Intl,Brazil,FALSE,-27.67027778,6,,0,12/04/2020
Rayong,VTBU,THA,101.0049167,FALSE,U-Tapao Rayong Pattaya Intl,Thailand,FALSE,12.67961111,1,0,-95.83333333,12/04/2020
Karachi,OPKC,PAK,67.16276111,FALSE,Jinnah Intl,Pakistan,FALSE,24.90855833,1,-80,-99.45945946,12/04/2020
Harbin,ZYHB,CHN,126.2516667,FALSE,Taiping,China,FALSE,45.625,1,0,-97.82608696,12/04/2020
Basle-Mulhouse,LFSB,FRA,7.529166667,FALSE,Basle-Mulhouse,France,FALSE,47.59,6,-40,-99.06687403,12/04/2020
Willemstad,TNCC,ANT,-68.95968889,FALSE,Hato Intl.,Neth Antilles,FALSE,12.18891389,4,-33.33333333,-96.07843137,12/04/2020
Tarawa I,NGTA,KIR,173.1462806,FALSE,Bonriki Intl,Kiribati,FALSE,1.381158333,1,0,-85.71428571,12/04/2020
Makassar,WAAA,IDN,119.5544444,TRUE,Sultan Hasanuddin,Indonesia,FALSE,-5.060833333,17,,0,12/04/2020
Honolulu,PHNL,USA,-157.9202611,TRUE,Honolulu Intl,USA,FALSE,21.317825,44,-29.03225806,-83.7037037,12/04/2020
San Jose Del Cabo,MMSD,MEX,-109.7207417,TRUE,Los Cabos Intl,Mexico,FALSE,23.152075,40,-45.94594595,-83.47107438,12/04/2020
Liverpool,EGGP,GBR,-2.849722222,FALSE,Liverpool,UK,FALSE,53.33361111,1,-85.71428571,-99.6031746,12/04/2020
Shanghai,ZSSS,CHN,121.335,FALSE,Hongqiao,China,FALSE,31.19666667,2,0,-98.4375,12/04/2020
Klagenfurt,LOWK,AUT,14.33722222,FALSE,Klagenfurt,Austria,FALSE,46.64277778,3,,0,12/04/2020
Ingolstadt,ETSI,DEU,11.53366667,FALSE,Manching,Germany,FALSE,48.71566667,1,,0,12/04/2020
Calgary,CYYC,CAN,-114.0133472,TRUE,Calgary Intl,Canada,FALSE,51.12261389,34,-49.25373134,-92.88702929,12/04/2020
El Paso,KELP,USA,-106.3763611,FALSE,El Paso Intl,USA,FALSE,31.80733333,4,-55.55555556,-66.66666667,12/04/2020
Humberside,EGNJ,GBR,-0.350833333,TRUE,Humberside,UK,FALSE,53.57444444,30,,0,12/04/2020
Asmara,HHAS,ERI,38.90083333,TRUE,Asmara Intl,Eritrea,FALSE,15.28416667,21,,0,12/04/2020
Krabi,VTSG,THA,98.98531389,FALSE,Krabi,Thailand,FALSE,8.100163889,2,0,-96,12/04/2020
San Salvador,MSLP,SLV,-89.05575,TRUE,"El Salvador Intl, Oscar Arnulfo Romero y Galdamez",El Salvador,TRUE,13.44093611,28,-22.22222222,-93.92624729,12/04/2020
Almeria,LEAM,ESP,-2.37,TRUE,Almeria,Spain,FALSE,36.84388889,42,,0,12/04/2020
Trieste,LIPQ,ITA,13.47222222,TRUE,Ronchi Dei Legionari,Italy,FALSE,45.8275,37,,0,12/04/2020
